Name,pri_crssant,prigap1,prigap1_filtered,prigapm,prigapm_filtered,prihomo,pritrans,gaplen,seglen,fastqc
HS-HEK293T_Amo-0.5_T4-24h_exo-0h_snoRNA,,,,,,,,,,
HS-HEK293T_Amo-1_T4-24h_exo-0h_mRNA,,,,,,,,,,
HS-HEK293T_AMT-0.5_T4-24h_exo-0h,,,,,,,,,,
MM-Tissue_Amo-0.5_T4-24h_exo-0h_mRNA_brain,,,,,,,,,,
MM-Tissue_Amo-0.5_T4-24h_exo-0h_snoRNA_brain,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_US47,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_US47_AG,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_US47_GA,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_VR1197,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_VR1197_AG,,,,,,,,,,
HS-HeLa_Amo-0.5_T4-24h_exo-0h_VR1197_GA,,,,,,,,,,
HS-SHSY5Y_Amo-0.5_T4-24h_exo-0h_US47,,,,,,,,,,
HS-SHSY5Y_Amo-0.5_T4-24h_exo-0h_US47_AG,,,,,,,,,,
HS-SHSY5Y_Amo-0.5_T4-24h_exo-0h_US47_GA,,,,,,,,,,
HS-HeLa_DPI-5_T4-24h_exo-0h,,,,,,,,,,
HS-HeLa_DPI-5_T4-24h_exo-2h,,,,,,,,,,
HS-HeLa_DPI-5_T4-24h_exo-12h,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-0h,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-0h_NOrRNA,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-2h,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-12h,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-24h,,,,,,,,,,
HS-HeLa_DPI-12.5_T4-24h_exo-24h_NOrRNA,,,,,,,,,,
HS-HeLa_DPI-25_T4-24h_exo-2h,,,,,,,,,,
HS-HeLa_DPI-25_T4-24h_exo-24h,,,,,,,,,,
IV-1HR2_DPI-5_T4-24h_exo-0h,,,,,,,,,,
IV-1HR2_DPI-5_T4-24h_exo-2h,,,,,,,,,,
IV-4GMA_DPI-5_T4-24h_exo-0h,,,,,,,,,,
IV-4GMA_DPI-5_T4-24h_exo-2h,,,,,,,,,,
